title,short_description,page
Remember This Titan,The Bill Yoast Story: Lessons Learned from a Celebrated Coach's Journey As Told to Steve Sullivan,176
Scouting for Moyes,The inside story of a football scout,310
Tales from the Buffalo Bills Sideline,A Collection of the Greatest Bills Stories Ever Told,192
"Oklahoma All-State Football Teams of the Twentieth Century, Selected By the Oklahoman",,172
Remember This Titan: The Bill Yoast Story,Lessons Learned from a Celebrated Coach's Journey As Told to Steve Sullivan,184
Scrivilo in cielo,"Nel calcio, come nella vita, per vincere bisogna crederci",252
Tales from the Cleveland Browns Sideline,A Collection of the Greatest Browns Stories Ever Told,240
Uniteds historie,Fra 1800-tallet til 2014,28
Resurrection,The Miracle Season That Saved Notre Dame,250
Tales from the Denver Broncos Sideline,A Collection of the Greatest Broncos Stories Ever Told,224
Newcastle United,The Day the Promises Had to Stop,245
University of Georgia Football,An Interactive Guide to the World of Sports,200
Oklahoma Sooners IQ: The Ultimate Test of True Fandom,The Ultimate Test of True Fandom,25
Return to Glory,Inside Tyrone Willingham's Amazing First Season AtNotre Dame,304
Season of Saturdays,A History of College Football in 14 Games,272
University of Michigan,"Where Have You Gone? Gene Derricotte, Garvie Craw, Jake Sweeney, and Other Wolverine Greats",256
Old Leather,"An Oral History of Early Pro Football in Ohio, 1920-1935",208
Return to Roses,(Michigan State Football),93
Seasons Change,,140
Oldham Athletic,A Pictorial History,96
RG3,The Promise,384
Seattle Seahawks Super Season,Notes from a 12 on the Best Season in Seahawks History,160
Tales from the Georgia Tech Sideline,A Collection of the Greatest Yellow Jacket Stories Ever Told,208
On Being Brown,What It Means to Be a Cleveland Browns Fan,166
Ring The Bell,The wenty Two Greatest Penn State Football Victories of our Lives,196
SEC Football,75 Years of Pride and Passion,240
Tales from the Kansas City Chiefs Sideline,A Collection of the Greatest Chiefs Stories Ever Told,256
On Coaching Football,A Resource and Guide for Coaches,263
Rise,"A Soldier, a Dream, and a Promise Kept",256
Second to None,The Relentless Drive and the Impossible Dream of the Super Bowl Bills,240
Tales from the LSU Tigers Sideline,A Collection of the Greatest Tigers Stories Ever Told,216
On Rocky Top,,360
Rising Tide,"Bear Bryant, Joe Namath, and Dixie's Last Quarter",448
Secret Diary of a Liverpool Scout,Stories Behind the Signings That Shaped Football History,336
Tales from the Minnesota Vikings Sideline,A Collection of the Greatest Vikings Stories Ever Told,192
On the Clock,The Story of the NFL Draft,220
Rocket Experience,,26
"Section 6: a memoir of family, football and fandom",,109
Tales from the Missouri Tigers,A Collection of the Greatest Tiger Stories Ever Told,208
On The Road With The REDMEN,,200
Roger Staubach,Captain America,240
Tales from the New England Patriots Sideline,A Collection of the Greatest Stories of the Team's First 40 Years,192
John Trollope,Record Breaker,200
One Catch Away,The Story of the 2011 Baltimore Ravens,61
Role of a Lifetime,"Reflections on Faith, Family, and Significant Living",224
Semi-Tough,A Novel,318
Tales from the Oklahoma Sooner Sideline,A Collection of the Greatest Sooner Stories Ever Told,208
One Moment Changes Everything: The All-America Tragedy of Don Rogers,,999
Roma 10,,132
Shake Down the Thunder,From Ugly Ducklings to AFL Premiers: The Story of the Sydney Swans,272
Tales from the Pittsburgh Steelers Sideline,A Collection of the Greatest Steelers Stories Ever Told,224
"One Night, Two Teams",Alabama vs. USC and the Game That Changed a Nation,417
Sheffield Wednesday: A Pictorial History,,96
Tales from the San Diego Chargers Sideline,A Collection of the Greatest Chargers Stories Ever Told,208
Johnny U and Me,The Man Behind the Golden Arm,368
One-Back Attack: A Complete Guide to the One-Back Offense,,159
Show Me the Money!,C??mo conseguir dinero a trav??s del marketing deportivo,340
Tales from the Seattle Seahawks Sideline,A Collection of the Greatest Seahawks Stories Ever Told,256
Johnny Unitas,America's Quarterback,352
Open Mike,,400
Ron Barassi,Legend of the Australian Football Hall Of Fame,25
Showdown,JFK and the Integration of the Washington Redskins,288
Tales from the Texas Tech Red Raiders Sideline,A Collection of the Greatest Red Raider Stories Ever Told,204
Open Season,,100
Rose Bowl Dreams,"A Memoir of Faith, Family, and Football",250
Sid Gillman,Father of the Passing Game,256
Tales from the Washington State Cougars Sideline,A Collection of the Greatest Cougars Stories Ever Told,224
Optimal Performance Training for Football,,204
Rotherham United,A Pictorial History,96
Side By Side,A Season With Collingwood,421
Talking Irish,The Oral History Of Notre Dame Football,400
Rothschild's Guide to Football Handicapping,,96
Sidelined,"Overcoming Odds Through Unity, Passion and Perseverance",224
Just Give Me the Damn Ball!,The Fast Times and Hard Knocks of an NFL Rookie,224
No Matter What,How To Recognize And Realize Your God Given Potential,169
Route Running for Wide Receivers,,26
Sidelines,,343
"Just Win, Baby",The Al Davis Story,224
Roy Cazaly,Legend of the Australian Football Hall Of Fame,25
Silent Count,Coaching the World's Only Deaf College Football Team...,221
Taste of the Town,A Guided Tour of College Football's Best Places to Eat,224
Rozelle,A Biography,312
Simplesmente Zico,,208
Tatort Fankurve,"Fussball, Gewalt und Rechtsextremismus",186
Run to Daylight!,,224
Simply the Best: 500 Football Tips for Youngsters,,260
Team WORKS!,The Gridiron Playbook for Building a Championship Business Team.,185
North Dallas Forty,,294
Out of the Blue,,336
Runnin' with the Big Dogs,,240
SmashMouth,Attitude Between the Lines!,146
Tebow Time,Insights on Winning from Football's Rising Star,208
So You Think You Know Football?,The Armchair Ref's Guide to the Official Rules,224
Ted Whitten,Legend of the Australian Football Hall Of Fame,25
Notre Dame Fighting Irish 2012 Season Preview,One Foot Down,325
Pistole e palloni,12 maggio 1974: il primo scudetto della Lazio nel cuore degli anni Settanta,240
Soldier Field,A Stadium and Its City,379
The Tee Cotton Bowl,"A Bayou Tale of Grace, Race, and Small-Town Football",160
Notre Dame Game Day,"Getting There, Getting In, and Getting in the Spirit",224
Pittsburgh Steelers Football,Progressive Trivia,128
Soldiers First,"Duty, Honor, Country, and Football at West Point",250
Ten Men You Meet in the Huddle,Lessons from a Football Life,352
Notre Dame vs. USC,The Rivalry,160
Pittsburgh Steelers Glory Days,,224
Sooner Nation,Oklahoma&#39;s Greatest Players Talk About Sooners Football,304
Ten-Gallon War,"The NFLs Cowboys, the AFLs Texans, and the Feud for Dallass Pro Football Future",288
Now You Know Football,Now You Know,192
Placekicking Fundamentals and Techniques (2nd Edition),,100
Southern Fried Football (Revised),"The History, Passion, and Glory of the Great Southern Game",234
Tennessee Football 2013,Your Guide to the 2013 Vols,146
Planning for Success: An Organizational Guide for Football Coaches,,123
Lose Yourself,The Moment - You Own It (12 in x 12 in),160
Tennessee Football 2014,,223
Play & Learn Football,,116
Lost Treasures from the Golden Era of America's Game,"Pro Football's Forgotten Heroes and Legends of the 50's, 60's, and 70's",156
Texas A&M Aggies IQ: The Ultimate Test of True Fandom,The Ultimate Test of True Fandom,33
Play Like You Mean It,"Passion, Laughs, and Leadership in the World's Most Beautiful Game",304
Lou,My Wonderful Life,300
Monster of the Midway,"Bronko Nagurski, the 1943 Chicago Bears, and the Greatest Comeback Ever",250
Special Teams: The Winning Edge ,(Third Edition),238
Texas High School Football Dynasties,,256
Playfair Football Annual 2011-2012,,566
Love And Other Alien Experiences,,0
Special Teams: The Winning Edge (2nd Edition),,222
Texas High School Football: 15 Amazing Moments,,35
Playfair Football Annual 2012-2013,,300
Luton Town,,298
Sports Concussions and the Brain,,31
Texas Longhorns IQ: The Ultimate Test of True Fandom,The Ultimate Test of True Fandom,28
Playing for England,,256
More Than Argentina,The Biography of Ally MacLeod,219
"Sports Illustrated Blood, Sweat and Chalk",The Ultimate Football Playbook: How the Great Coaches Built Today's Game,256
That First Season,How Vince Lombardi Took the Worst Team in the NFL and Set It on the Path to Glory,304
Playing for Paterno,"One Coach, Two Eras . . . A Father and Son's Recollections of Playing for JoePa",224
Move the Chains: Keys to Unlocking a Pro Football Career for the Undrafted Player,Keys to Unlocking a Pro Football Career for the Undrafted Player,82
Sports Illustrated Football's Greatest,,288
That Season of Hope,,280
Playing Piano In A Brothel,A Sports Journalist??s Odyssey,345
Moving the Chains,Tom Brady and the Pursuit of Everything,250
Sports Illustrated Great Football Writing,,560
Their Life's Work,"The Brotherhood of the 1970s Pittsburgh Steelers, Then and Now",480
Playing Quarterback 101,A Brief Introduction to Playing Quarterback at the Competitive Level,25
Mr. Inside and Mr. Outside,"World War II, Army&#39;s Undefeated Teams, and College Football&#39;s Greatest Backfield Duo",256
Sports Illustrated Monday Morning Quarterback,A Fully Caffeinated Guide to Everything You Need to Know About the NFL,256
There Were Giants in Those Days,The New York Giants Dynasty 1954-1963,200
Playing to Win,,208
Mr. Notre Dame,The Life and Legend of Edward Moose Krause,224
Thierry Henry,Fifty Defining Fixtures,176
"Point Guards, Playoffs and The Future of Football",,70
Muck City,Winning and Losing in Football's Forgotten Town,344
Fit and Proper?,Conflicts and Conscience in an English Football Club,454
Spurrier,How The Ball Coach Taught the South to Play Football,336
Things I've Learned from Watching the Browns,,254
Polly Farmer,,416
Murder of a Star Quarterback: The Tragic Tale of Steve McNair & Sahel Kazemi,R. Barri Flowers Murder Chronicles,62
Spygate The Untold Story,,270
Third and Long: The History of African Americans in Pro Football 1946??1989,Interactive Edition,51
Must Win,A Season of Survival for a Town and Its Team,250
Third Down and a War to Go,,320
Portieri eroi di sventura,,240
Flawless Execution,,199
God and Football...Why Men Love the Game,,132
Third Saturday in October,The Game-By-Game Story of the South's Most Intense Football Rivalry,390
Power Up! Gridiron,Devotional Thoughts for Football Fans,224
My Brother??s Keeper: Above & Beyond ??The Dotted Line?? with the NFL??s Most Ethical Agent,,0
Florida Gators IQ: The Ultimate Test of True Fandom,The Ultimate Test of True Fandom,134
Stan Anderson,Captain of the north,304
This Day In Football,A Day-by-day Record Of The Events That Shaped The Game,224
Pride and Perseverance,"A Story of Courage, Hope, and Redemption",304
My Conference Can Beat Your Conference,Why the SEC Still Rules College Football,288
Thoughts of a Millwall Optimist,Five Years in the Life of a Millwall Fan,243
Prior To The Snap,,54
Follow the Band - A Fan's-Eye View of USC Trojan Football,,37
God's Coach,"The Hymns, Hype, and Hypocrisy of Tom Landry's Cowboys",500
Standing Tall,The Kevin Everett Story,216
Three and Out,Rich Rodriguez and the Michigan Wolverines in the Crucible of College Football,250
Pro Betting Secrets,A Creative Approach to Handicapping College Football,13
My Fight With Life,,239
Steak Diana Ross,Diary of a Football Nobody,253
"Three Downs, One Hundred Games",,1
Pro Bowl Kapu,,171
My Forest Journey,Tooting to Munich,217
Steelers Glory,"For the Love of Bradshaw, Big Ben and the Bus",256
"The Three Percent Solution: Ramblings on College Playoffs, Football Conferences, and Fetal Bovine Serum",,14
Promises to Keep,My Inspired Run from Syracuse to Denver to the Hall,256
My Greatest Day in Football,The Legends of Football Recount Their Greatest Moments,320
Steelers Triviology,Fascinating Facts from the Sidelines,128
"Three Rivers, Three Rings",,198
Pros and Cons,The Criminals Who Play in the NFL,336
My Life with the Green & Gold,Tales from 20 Years of Sportscasting,232
Stepping on the Cracks,,464
Three-Week Professionals,Inside the 1987 NFL Players' Strike,176
PUMPED,The Patriots Are Four-Time Super Bowl Champs,128
"Football and Integration in Plano, Texas","Stay in there, Wildcats!",144
Steps To Success Football,,16
Thunder on the Tundra,Football Above the Arctic Circle,264
"Purple Reign 2: Faith, Family & Football - A Baltimore Love Story",,844
Steven Gerrard,Fifty Defining Features,168
Tifare contro,Una storia degli ultras italiani,232
Put Your Game Together,Ethical Management in Youth Sports and Business,176
Football Betting - How to Make Big Bucks Betting the BCS and College Bowls,,28
Still Kicking,My Dramatic Journey As the First Woman to Play Division One College Football,288
Tigers vs. Jayhawks,From the Civil War to the Battle for No.1,272
Football Betting - Monday Night Football Gambling Success,,9
Graham Farmer,Legend of the Australian Football Hall Of Fame,25
Storia del gol,"Epoche, uomini e numeri dello sport pi?? bello del mondo",360
Tim Tebow,An Unauthorized Biography,50
Football clan,Perch?? il calcio ?? diventato lo sport pi?? amato dalle mafie,290
Great Australian Sports Rorts,From dodgy dogs to nobbled nags,304
Strength of a Champion,Finding Faith and Fortitude Through Adversity,272
Tim Tebow - The Quiz Book,,22
Football Coach's Guide to Organizing Special Teams,,159
Great Equaliser,@ukbettingpro takes on Las Vegas,375
Striking Gridiron,A Town's Pride and a Team??s Shot at Glory During the Biggest Strike in American History,250
To the NFL You Sure Started Somethin',"A Historical Guide to All 32 NFL Teams and the Cities They've Played In, second edition",500
Football Days,Memories of the Game and of the Men behind the Ball,762
Greatest Moments in Iowa Hawkeyes Football History,,240
STUFF,You Can Use,46
Football Decoded,Revealing the Hidden Values Inside the Game,160
Greatest Moments in Ohio State Football History,,214
Gordon Coventry,Legend of the Australian Football Hall Of Fame,25
Suarez,,208
Tom Brady,An Unauthorized Biography,64
FOOTBALL ENGLISH ACADEMY,,34
Football and Philosophy,Going Deep,240
Sunday Morning Quarterback,,224
Tom Brady vs. the NFL,The Case for Football's Greatest Quarterback,256
Football Facts for Females,Or If You Can't Beat 'Em Join 'Em,210
Green Bay Packers,"Trials, Triumphs, and Tradition",416
Sundays in the Pound,The Heroics and Heartbreak of the 1985-89 Cleveland Browns,313
Tom Osborne On Leadership,Life Lessons from a Three-Time National Championship Coach,180
Football Fans*,,60
Green Bay Packers IQ: The Ultimate Test of True Fandom,The Ultimate Test of True Fandom,61
Super Bowl Word Scrambles: The Big Game - Over 65 Word Jumble Puzzles,,3
Tommy Johnston,The Happy Wanderer,256
Football For Beginners,Essential Training and Game Tactics Tips For Playing and Coaching,40
Green is the Colour,The Story of Irish Football,288
Super Broncos,From Elway to Tebow to Manning,208
Tommy Tynan,The Original 'Football Idol',176
Football For Kids,Introduction to football,10
Grey Cup Century,,264
Super Hawks,The Seattle Seahawks' 2013 Championship Season,128
